time  core  r/w address
4427213 0 0 b236e0 
4427214 3 0 b14278 
4427215 1 0 b20278 
4427216 0 0 a236e8 
4427216 3 0 b24660
4427216 3 0 b24660
4427217 1 1 b24660
4427217 0 0 1236f0
4427217 2 1 b20278 
4427219 3 0 b24668 
4427220 1 1 b236e0 
4427222 1 1 b20268 
4427223 1 1 b20270 
4427223 0 0 2236f8
4427224 0 0 6236e7 
4427224 1 1 b20278 
4427226 3 0 b24678 
4427226 2 0 b14280 
4427227 2 0 b24288
4427228 3 1 b24288
4427228 0 1 b236e0 
4427228 2 0 b14280 
4427229 2 0 b24288 
4427230 0 1 d236e8 
4427231 2 0 b1fa80 
4427231 3 1 b24660 
4427231 0 1 b236f0 
4427232 0 1 b236f8 
4427233 1 0 b204c0 
4427233 3 1 b24668 
